plr_id,plr_name,longitude,latitude
12601031,"Lübarser Straße",13.336704,52.602952
04400728,"Hagenplatz",13.273475,52.483231
07200307,"Bayerischer Platz",13.341267,52.489975
09501737,"Alt-Friedrichshagen",13.644435,52.458577
10200524,"Adele-Sandrock-Straße",13.618186,52.535313
03500932,"Bühringstraße",13.445775,52.559179
07200413,"Cheruskerstraße",13.363274,52.480997
02400520,"Barnimkiez",13.433548,52.526309
02500836,"Stralauer Halbinsel",13.476040,52.492919
12500928,"Waidmannslust",13.316344,52.606633
05100210,"Germersheimer Platz",13.187246,52.546399
08401246,"Waltersdorfer Chaussee Ost",13.513036,52.412736
03300515,"Blankenburger Süden",13.455356,52.583699
04500936,"Droysenstraße",13.302002,52.501602
02300419,"Wrangelkiez",13.443759,52.498053
08100208,"Körnerpark",13.434915,52.471634
07100101,"Wittenbergplatz",13.342248,52.499210
03500935,"Behaimstraße",13.448438,52.550311
02200212,"Graefekiez Süd",13.414599,52.489412
05200524,"Döberitzer Weg",13.128867,52.523981
03400826,"Tiroler Viertel",13.407876,52.561179
01300836,"Humboldthain Nordwest",13.373090,52.543202
11100101,"Dörfer Malchow-Wartenberg",13.512025,52.582616
10300733,"Alt-Biesdorf",13.550671,52.506979
08100419,"Treptower Straße Nord",13.452298,52.483743
05200633,"Graetschelsteig",13.188637,52.516941
07601544,"John-Locke-Straße",13.400036,52.390759
06200423,"Schütte-Lanz-Straße",13.329224,52.413398
06300525,"Zehlendorf Süd",13.256749,52.410663
03501037,"Rathaus Weißensee",13.466892,52.561245
11401136,"Volkradstraße",13.508782,52.499987
07501032,"Imbrosweg",13.407615,52.445570
09100203,"Plänterwald Ost",13.484511,52.478644
05300839,"Rohrdamm",13.263621,52.544222
09401432,"Siedlung Kämmereiheide",13.602003,52.445011
05300735,"Haveleck",13.229713,52.555695
12601236,"Schorfheidestraße",13.347543,52.594490
11300724,"Roedeliusplatz",13.489515,52.515280
01100414,"Nordbahnhof",13.381075,52.535525
09300923,"Kölner Viertel",13.539265,52.404195
02100101,"Askanischer Platz",13.382350,52.502917
10400939,"Alt-Mahlsdorf",13.617635,52.508959
12400617,"Alt-Heiligensee",13.221257,52.608868
08200726,"Hufeisensiedlung",13.444407,52.448483
07100102,"Kalckreuthstraße",13.350204,52.498349
02400623,"Andreasviertel",13.431967,52.513510
05400942,"Alt-Gatow",13.167222,52.482387
01100309,"Oranienburger Straße",13.398084,52.525893
06200313,"Lankwitz Kirche",13.346968,52.437328
01300733,"Gesundbrunnen",13.389962,52.552660
12200307,"Reinickes Hof",13.327203,52.575044
04200309,"Neu Westend",13.256876,52.517388
06100204,"Munsterdamm",13.348387,52.453632
01400939,"Glasgower Straße",13.348888,52.554769
05100206,"Griesingerstraße",13.157687,52.559484
09301227,"Karolinenhof",13.633427,52.392460
06400842,"Hüttenweg",13.263141,52.459885
07300515,"Taunusstraße",13.324312,52.474380
02500834,"Revaler Straße",13.459682,52.507174
05200634,"Börnicker Straße",13.197269,52.508454
09401635,"Müggelheim",13.683626,52.407010
03601347,"Helmholtzplatz",13.418280,52.543477
04300413,"Klausenerplatz",13.290363,52.516135
06300629,"Botanischer Garten",13.301165,52.449914
08401245,"Frauenviertel",13.506468,52.402694
07300618,"Ceciliengärten",13.339176,52.471642
05100102,"Am Forstacker",13.202140,52.564110
09301025,"Alt-Bohnsdorf",13.563988,52.396395
09200613,"Bahnhof Schöneweide",13.519779,52.456480
03100102,"Klinikum Buch",13.510021,52.637507
08100520,"Weiße Siedlung",13.463437,52.475734
06300527,"Sundgauer Straße",13.273824,52.435425
10100104,"Golliner Straße",13.578149,52.565338
09100202,"Plänterwald West",13.467485,52.482004
07400824,"Bosepark",13.381704,52.464812
07400822,"Lindenhofsiedlung",13.364348,52.463519
10100207,"Ahrensfelder Berge",13.579925,52.553830
09100305,"Baumschulenweg Ost",13.490956,52.470212
11400930,"Zachertstraße",13.506485,52.505146
07501133,"Fritz-Werner-Straße",13.381915,52.432515
09401431,"Allende I",13.588937,52.444796
04400834,"Binger Straße",13.310847,52.473666
06400839,"Fischerhüttenstraße",13.244401,52.439011
07400928,"Germaniagarten",13.417591,52.460976
10200418,"Kyritzer Straße",13.587998,52.542639
02500727,"Forckenbeckplatz",13.457481,52.518049
11100206,"Wartenberg Nord",13.507550,52.573945
03701659,"Immanuelkirchstraße",13.422388,52.530473
11100203,"Falkenberg Ost",13.531148,52.565344
11300619,"Rudolf-Seiffert-Park",13.473366,52.525147
02300417,"Reichenberger Straße West",13.425874,52.496905
02100103,"Am Berlin Museum",13.399480,52.503859
09200512,"Wuhlheide",13.540737,52.463621
01100415,"Invalidenstraße",13.392267,52.532053
11400931,"Massower Straße",13.513091,52.508356
06200420,"Lichterfelde Süd",13.305582,52.415292
09300922,"Kosmos Viertel",13.526713,52.403819
01300834,"Brunnenstraße",13.395601,52.544854
08100103,"Schillerpromenade Süd",13.419672,52.474172
07400721,"Paradestraße",13.396845,52.474926
04400725,"Güterbahnhof Grunewald",13.272854,52.494809
05300841,"Siemensdamm",13.270177,52.537010
07400927,"Rathaus Tempelhof",13.399169,52.459455
06200316,"Belßstraße",13.359635,52.430456
03200205,"Uhlandstraße",13.393744,52.593887
11300826,"Frankfurter Allee Süd",13.484961,52.508979
04400729,"Hundekehle",13.261174,52.474808
05200423,"Magistratsweg",13.153592,52.531222
02400624,"Weberwiese",13.446997,52.513044
03701657,"Thälmannpark",13.430091,52.540007
01300730,"Drontheimer Straße",13.376618,52.558472
04501153,"Babelsberger Straße",13.333178,52.482386
08100417,"Braunschweiger Straße",13.449357,52.472282
04501043,"Preußenpark",13.313276,52.495918
01200626,"Thomasiusstraße",13.350264,52.523434
04300517,"Tegeler Weg",13.301218,52.527186
08200622,"Jahnstraße",13.444325,52.461468
03601346,"Gethsemanekirche",13.415328,52.545930
09501940,"Güterbahnhof Köpenick",13.587607,52.456655
10200628,"Neue Grottkauer Straße",13.594063,52.528642
02300314,"Oranienplatz",13.420226,52.502397
08100310,"Maybachufer",13.427299,52.492576
04300414,"Schloßstraße",13.295217,52.513581
06400841,"Zehlendorf Eiche",13.265176,52.440500
05100105,"Amorbacher Weg",13.189149,52.557475
